enabled,case_id,expected_is_demand,note,screenshot_path,expected_title,expected_category,expected_essence_key,review_note
true,case-023,true,"1、希望二次元功能可以集合到创意模块里，使用一次消耗10点数，如果太贵了宁愿用其他AI；
2、希望创意模块下的功能可以定稿效果后导出再扣点数，不然就像抽奖一样，消耗几次都不合适，就不愿意继续用了。","","1、破次元功能集成到创意模块
2、创意模块按满意效果计费","现有破次元功能优化
现有破次元功能优化","破次元功能进入创意模块按点数计费
确认满意效果后再扣点降低试错成本",
true,case-024,true,希望蛋糕可以增加侧逆光功能,,侧逆光打光功能,破次元新功能需求,更自由的AI打光补光调整,
true,case-025,true,辉光功能加画笔绘制区域会更好,,辉光功能加画笔绘制,破次元新功能需求,辉光效果可以用画笔指定区域,
true,case-026,true,"1、头发反重力功能，希望正式版可以增加画笔工具，往上画生成方向或者范围；
2、希望有个素材库可以整合自己画的武器、粒子、特效等；
3、背景替换成图不够真实","","1、头发反重力加画笔控制方向
2、自定义素材库上传融合
3、背景替换不够真实","现有破次元功能优化
破次元新功能需求
现有破次元功能优化","更自由控制头发反重力方向和范围
管理并复用自制二次元素材
背景替换合成效果更真实自然",
true,case-027,true,"1、希望增加类似PS的编辑功能：丢一个素材进去自动溶图，再整个素材库；
2、现在创意模块的很多功能没有竞争力，比起confyui、nano banana甚至ps自研模型都没有优势；背景替换做不到nano banana那种能用提示词描述到位的；
3、头发不要死磕反重力，希望有画笔有做引导","","1、导入素材自动溶图
2、创意模块竞争力不足
3、提示词描述背景生成
4、头发反重力加画笔引导","破次元新功能需求
软件非破次元功能需求
破次元新功能需求
现有破次元功能优化","素材自动融合
创意模块整体能力更有竞争力
用提示词精准控制背景生成
画笔引导头发反重力更自由",
true,case-028,true,"4、现有快捷键不方便，功能切换很难受；
5、识别年龄不够合适，婚礼多人合照识别精准度低；
6、创意模块不消耗点数的功能出图效果一般；
7、希望新增更新效果图可选按钮；
8、希望接入nano banana或即梦；
9、新增图层混合模式功能","","1、快捷键功能切换优化
2、年龄识别精准度不足
3、创意模块免费功能效果差
4、新增效果图可选按钮
5、接入nano banana或即梦
6、新增图层混合模式","软件非破次元功能需求
软件非破次元功能需求
软件非破次元功能需求
软件非破次元功能需求
软件非破次元功能需求
软件非破次元功能需求","功能切换更顺手高效
多人合照年龄识别更精准
免费创意功能出图效果更好
手动切换或刷新效果图
接入外部生成能力丰富玩法
支持图层混合实现更灵活编辑",
true,case-029,true,"头发反重力成功率较高，但头发存在多个颜色的时候会出现头发不够准的情况",,头发多色时反重力颜色不准,现有破次元功能优化,头发反重力在多色情况下颜色更精准,
true,case-030,true,"1、素材无法调整，雾的体积、范围、透明度都不能调节；
2、羽毛选择只有黑色，没有白色；
3、暗调亮调要么变灰亮要么变黑白，会把原本很好看的光去掉","","1、特效素材颜色范围透明度自由调整
2、羽毛颜色选择
3、暗调亮调优化",现有破次元功能优化,特效素材的颜色范围透明度能自由调节,
true,case-031,true,"线下展会活动偏好无料形式：
1、贴纸、小挂件
2、【像素蛋糕摄影师】牌子
3、摄影徽章",,线下展会无料周边建议,用户其他反馈,希望品牌在线下漫展提供贴纸挂件等周边,
true,case-032,true,"1、可以再上个边框水印功能；
2、一亿像素好像不支持，文件太大了导不进去；
3、支持raw值得点赞；
4、希望来武汉举行活动","","1、手机支持加边框水印
2、大文件导入限制
3、支持raw值得点赞
4、希望来武汉举行活动","软件非破次元功能需求
软件非破次元功能需求
用户其他反馈
用户其他反馈","给图片添加边框和水印
顺利导入超大像素文件
认可软件对RAW格式的支持
希望来武汉举办线下活动",
